Player,Team,Comb,Asst,Solo,Sck
Kool-Aid McKinstry,New Orleans Saints,18,4,13,0.0
Levi Onwuzurike,Detroit Lions,18,9,8,1.5
Daron Payne,Washington Commanders,18,6,12,1.5
Darnell Savage,Jacksonville Jaguars,18,4,12,0.0
Zach Sieler,Miami Dolphins,18,9,9,2.0
Riq Woolen,Seattle Seahawks,18,6,10,0.0
Isaac Yiadom,San Francisco 49ers,18,2,16,0.0
Chase Young,New Orleans Saints,18,7,8,2.0
Darrell Baker Jr.,Tennessee Titans,17,1,15,0.0
Micheal Clemons,New York Jets,17,8,8,4.5
Malik Harrison,Baltimore Ravens,17,12,5,1.0
Ronnie Hickman Jr.,Cleveland Browns,17,1,16,0.0
Josh Jobe,Seattle Seahawks,17,6,10,0.0
Chris Jones,Kansas City Chiefs,17,8,9,3.0
Kamren Kinchens,Los Angeles Rams,17,7,9,0.0
Kader Kohou,Miami Dolphins,17,4,11,0.0
Tyquan Lewis,Indianapolis Colts,17,7,6,1.5
Roy Lopez,Arizona Cardinals,17,10,6,1.0
Luke Masterson,Las Vegas Raiders,17,7,9,0.0
Isaiah McGuire,Cleveland Browns,17,8,6,0.5
C.J. Mosley,New York Jets,17,4,13,0.0
Dayo Odeyingbo,Indianapolis Colts,17,8,7,3.0
Otito Ogbonnia,Los Angeles Chargers,17,11,3,0.0
Kwity Paye,Indianapolis Colts,17,5,8,2.5
Sheldon Rankins,Cincinnati Bengals,17,8,6,1.0
Roy Robertson-Harris,Seattle Seahawks,17,7,9,2.0
Jack Sanborn,Chicago Bears,17,8,6,1.0
Tedarrell Slaton,Green Bay Packers,17,11,3,0.0
Pat Surtain II,Denver Broncos,17,7,10,0.0
Darrell Taylor,Chicago Bears,17,5,8,2.0
Jimmie Ward,Houston Texans,17,4,10,0.0
Christian Wilkins,Las Vegas Raiders,17,6,8,2.0
Jaire Alexander,Green Bay Packers,16,1,15,0.0
Felix Anudike-Uzomah,Kansas City Chiefs,16,6,8,1.5
Jordan Battle,Cincinnati Bengals,16,5,9,0.0
Nick Bellore,Washington Commanders,16,7,8,0.0
Keeanu Benton,Pittsburgh Steelers,16,7,8,0.0
Cole Bishop,Buffalo Bills,16,9,7,0.0
DeForest Buckner,Indianapolis Colts,16,5,9,3.5
Claudin Cherelus,Carolina Panthers,16,10,5,0.0
L.J. Collier,Arizona Cardinals,16,12,3,0.5
Cooper DeJean,Philadelphia Eagles,16,3,13,0.5
Poona Ford,Los Angeles Chargers,16,8,7,1.0
Kristian Fulton,Los Angeles Chargers,16,4,9,0.0
Neville Gallimore,Los Angeles Rams,16,11,2,0.0
Jake Hansen,Houston Texans,16,6,8,1.0
Will Harris,New Orleans Saints,16,4,9,0.0
Jarrian Jones,Jacksonville Jaguars,16,4,10,0.0
Nnamdi Madubuike,Baltimore Ravens,16,6,7,2.0
Will McDonald IV,New York Jets,16,4,10,8.0
Jaquelin Roy,New England Patriots,16,5,7,2.0
Tim Settle,Houston Texans,16,1,15,4.0
Mazi Smith,Dallas Cowboys,16,5,11,0.0
Solomon Thomas,New York Jets,16,8,7,2.5
Jerry Tillery,Minnesota Vikings,16,10,4,0.0
Denzel Ward,Cleveland Browns,16,2,11,0.0
Jonathan Allen,Washington Commanders,15,2,11,2.0
Austin Booker,Chicago Bears,15,4,10,1.0
Lorenzo Carter,Atlanta Falcons,15,4,10,0.0
Ashtyn Davis,New York Jets,15,3,11,0.0
Morgan Fox,Los Angeles Chargers,15,3,10,3.5
Jordan Fuller,Carolina Panthers,15,7,7,0.0
J.T. Gray,New Orleans Saints,15,6,8,0.0
Renardo Green,San Francisco 49ers,15,7,8,0.0
